id,name,year,glottocode,country,map_name_full,note
264,English,2024,stan1293,Lesotho,,
265,English,2024,stan1293,Cameroon,,
266,French,2024,stan1290,Cameroon,,
267,French,2024,stan1290,Gabon,,
268,French,2024,stan1290,Niger,,
269,Mooré,2024,moss1236,Burkina Faso,,
270,Bissa,2024,biss1248,Burkina Faso,,
271,Dyula,2024,dyul1238,Burkina Faso,,
272,Fula,2024,fula1264,Burkina Faso,,
273,French,2024,stan1290,Togo,,
274,English,2024,stan1293,Ghana,,
275,Portuguese,2024,port1283,Guinea-Bissau,,
276,English,2024,stan1293,United States,,
277,English,2024,stan1293,Canada,,
278,French,2024,stan1290,Canada,,
279,Spanish,2024,stan1288,Mexico,,
280,English,2024,stan1293,Belize,,
281,Spanish,2024,stan1288,Panama,,
282,Spanish,2024,stan1288,Venezuela,,
283,English,2024,stan1293,Papua New Guinea,,
284,Hiri Motu,2024,hiri1237,Papua New Guinea,,
285,Tok Pisin,2024,tokp1240,Papua New Guinea,,
286,Arabic,2024,stan1318,Egypt,,
287,Arabic,2024,stan1318,Yemen,,
288,Arabic,2024,stan1318,Mauritania,,
289,French,2024,stan1290,Equatorial Guinea,,
290,Portuguese,2024,port1283,Equatorial Guinea,,
291,Spanish,2024,stan1288,Equatorial Guinea,,
292,English,2024,stan1293,The Gambia,,
293,Italian,2024,ital1282,Vatican,,
294,Latin,2024,lati1261,Vatican,,
295,Turkish,2024,nucl1301,Northern Cyprus,,
296,English,2024,stan1293,Australia,,
297,English,2024,stan1293,Fiji,,
298,Fijian,2024,fiji1243,Fiji,,
299,Fiji Hindi,2024,fiji1242,Fiji,,
300,English,2024,stan1293,New Zealand,,
301,Māori language,2024,maor1246,New Zealand,,
302,French,2024,stan1290,Madagascar,,
303,Malagasy,2024,mala1537,Madagascar,,
304,Filipino,2024,fili1244,Philippines,,
305,English,2024,stan1293,Philippines,,
306,Sinhala,2024,sinh1246,Sri Lanka,,
307,Tamil,2024,tami1289,Sri Lanka,,
308,English,2024,stan1293,Bahamas,,
309,Mandarin Chinese,2024,mand1415,Taiwan,,
310,Japanese,2024,nucl1643,Japan,,
311,Icelandic,2024,icel1247,Iceland,,
312,English,2024,stan1293,Seychelles,,
313,French,2024,stan1290,Seychelles,,
314,Seychellois Creole,2024,sese1246,Seychelles,,
315,English,2024,stan1293,Kiribati,,
316,Gilbertese,2024,gilb1244,Kiribati,,
317,English,2024,stan1293,Marshall Islands,,
318,Marshallese,2024,mars1254,Marshall Islands,,
319,English,2024,stan1293,Trinidad and Tobago,,
320,English,2024,stan1293,Grenada,,
321,English,2024,stan1293,Saint Vincent and the Grenadines,,
322,English,2024,stan1293,Barbados,,
323,English,2024,stan1293,Saint Lucia,,
324,English,2024,stan1293,Dominica,,
325,English,2024,stan1293,Antigua and Barbuda,,
326,English,2024,stan1293,Saint Kitts and Nevis,,
327,English,2024,stan1293,Jamaica,,
328,English,2024,stan1293,Mauritius,,
329,Mauritian Creole,2024,mori1278,Mauritius,,
330,Arabic,2024,stan1318,Comoros,,
331,Comorian,2024,como1260,Comoros,,
332,French,2024,stan1290,Comoros,,
333,Portuguese,2024,port1283,São Tomé and Principe,,
334,Portuguese,2024,port1283,Republic of Cabo Verde,,
335,Maltese,2024,malt1254,Malta,,
336,English,2024,stan1293,Malta,,
337,English,2024,stan1293,Singapore,,
338,Malay,2024,mala1479,Singapore,,
339,Mandarin Chinese,2024,mand1415,Singapore,,
340,Tamil,2024,tami1289,Singapore,,
341,English,2024,stan1293,Norfolk Island,,
342,Norfuk,2024,pitc1234,Norfolk Island,,
343,English,2024,stan1293,Cook Islands,,
344,Cook Islands Māori,2024,raro1241,Cook Islands,,
345,English,2024,stan1293,Tonga,,
346,Tongan,2024,tong1325,Tonga,,
347,English,2024,stan1293,Samoa,,
348,Samoan,2024,samo1305,Samoa,,
349,English,2024,stan1293,Solomon Islands,,
350,Pidgin,2024,piji1239,Solomon Islands,,
351,Tuvaluan,2024,tuva1244,Tuvalu,,
352,English,2024,stan1293,Tuvalu,,
353,Dhivehi,2024,dhiv1236,Maldives,,
354,English,2024,stan1293,Nauru,,
355,Nauruan,2024,naur1243,Nauru,,
356,English,2024,stan1293,Federated States of Micronesia,,
357,English,2024,stan1293,Vanuatu,,
358,French,2024,stan1290,Vanuatu,,
359,Bislama,2024,bisl1239,Vanuatu,,
360,English,2024,stan1293,Niue,,
361,Niuean,2024,niue1239,Niue,,
362,English,2024,stan1293,Palau,,
363,Palauan,2024,pala1344,Palau,,
364,Arabic,2024,stan1318,Bahrain,,
365,French,2024,stan1290,Saint-Martin,,
366,Dutch,2024,dutc1256,Sint Maarten,,
367,English,2024,stan1293,Sint Maarten,,
368,English,2024,stan1293,Gibraltar,,
369,Standard Chinese,2024,mand1415,Hong Kong,,
370,English,2024,stan1293,Hong Kong,,
371,Kalaallisut,2024,kala1399,Greenland,,
372,French,2024,stan1290,New Caledonia,,
373,Dutch,2024,dutc1256,Curaçao,,
374,Dutch,2024,dutc1256,Aruba,,
375,Papiamento,2024,papi1253,Aruba,,
376,English,2024,stan1293,Turks and Caicos Islands,,
377,French,2024,stan1290,Saint Pierre and Miquelon,,
378,Pitcairn,2024,pitc1234,Pitcairn Islands,,
379,English,2024,stan1293,Pitcairn Islands,,
380,French,2024,stan1290,French Polynesia,,
381,English,2024,stan1293,Montserrat,,
382,English,2024,stan1293,United States Virgin Islands,,
383,French,2024,stan1290,Saint-Barthélemy,,
384,Spanish,2024,stan1288,Puerto Rico,,
385,English,2024,stan1293,Puerto Rico,,
386,English,2024,stan1293,Anguilla,,
387,English,2024,stan1293,British Virgin Islands,,
388,English,2024,stan1293,Cayman Islands,,
389,English,2024,stan1293,Bermuda,,
390,English,2024,stan1293,Saint Helena,,
391,French,2024,stan1290,Jersey,,
392,English,2024,stan1293,Jersey,,
393,Jèrriais,2024,jerr1238,Jersey,,
394,English,2024,stan1293,Guernsey,,
395,French,2024,stan1290,Guernsey,,
396,English,2024,stan1293,Isle of Man,,
397,Manx,2024,manx1243,Isle of Man,,
398,Swedish,2024,swed1254,Åland Islands,,
399,Faroese,2024,faro1244,Faeroe Islands,,
400,Danish,2024,dani1285,Faeroe Islands,,
401,English,2024,stan1293,Indian Ocean Territories,,
402,English,2024,stan1293,British Indian Ocean Territory,,
403,French,2024,stan1290,Wallis and Futuna Islands,,
404,English,2024,stan1293,South Georgia and the Islands,,
405,English,2024,stan1293,Falkland Islands / Malvinas,,
406,English,2024,stan1293,American Samoa,,
407,Samoan,2024,samo1305,American Samoa,,
408,English,2024,stan1293,Guam,,
409,Chamorro,2024,cham1312,Guam,,
410,English,2024,stan1293,Northern Mariana Islands,,
411,Chamorro,2024,cham1312,Northern Mariana Islands,,
412,Carolinian,2024,caro1242,Northern Mariana Islands,,
413,Standard Chinese,2024,mand1415,Macao,,
414,Portuguese,2024,port1283,Macao,,
